,Title,Link,Genre,Developer,Publisher,Released in: Japan,Plots
0,Q.U.B.E. 2,/wiki/Q.U.B.E._2,Puzzle,Toxic Games,Super Rare Games,"February 21, 2019"," The player's character, after waking up from some incident, finds himself with a pair of gloves that can interact with specific blocks that are in the walls, floors, and ceilings of the various rooms as he progresses. The function of the blocks are distinguished by colour: red blocks can be extended or retracted; yellow blocks, always in groups of three, can be used to make stair-like structures; blue blocks can be retracted to act like a springboard to whatever touches them; purple blocks provide means to rotate sections of walls of a room; and green blocks provide a sphere or cube, which the player will need to manipulate. In the early stages, the player's goal is to use a combination of these blocks to get themselves to an exit point, allowing them to move to the next chamber.  As the player progresses deeper into the unknown complex, new puzzle aspects are introduced. In one stage, the bulk of the chambers are dark except for specific coloured blocks, requiring the player to remember the location of other blocks as they manipulate them. Another section features light-oriented puzzles, with the player using cubes and other features to orient the light beam in the correct fashion.  "
1,Quake,/wiki/Quake_(video_game),First-person shooter,id Software,Bethesda Softworks,"August 19, 2021"," In Quake's single-player mode, players explore levels, facing monsters and finding secret areas before reaching an exit. Switches or keys open doors, and reaching the exit takes the player to the next level. Before accessing an episode, there is a set of three pathways with easy, medium, and hard skill levels. The fourth skill level, ""Nightmare"", was ""so bad that it was hidden, so people won't wander in by accident""; the player must drop through water before the episode four entrance and go into a secret passage to access it.  Quake's single-player campaign is organized into four individual episodes with seven to eight levels in each (including one secret level per episode, one of which is a ""low gravity"" level that challenges the player's abilities in a different way). If the player's character dies, they must restart at the beginning of that level. The game may be saved at any time in the PC versions and between levels in the console versions. Upon completing an episode, the player is returned to the hub ""START"" level, where another episode can be chosen. Each episode starts the player from scratch, without any previously collected items. Episode one (which formed the shareware or downloadable demo version of Quake) has the most traditional ideology of a boss in the last level. The ultimate objective at the end of each episode is to recover a magic rune. After all of the runes are collected, the floor of the hub level opens up to reveal an entrance to the ""END"" level which contains a final puzzle.   In the single-player game, the player takes the role of the unnamed protagonist, named Ranger in later games (voiced by Trent Reznor), sent into a portal in order to stop an enemy code-named ""Quake"". The government had been experimenting with teleportation technology and developed a working prototype called a ""Slipgate""; the mysterious Quake compromised the Slipgate by connecting it with its own teleportation system, using it to send death squads to the ""Human"" dimension in order to test the martial capabilities of humanity.  The sole surviving protagonist in ""Operation Counterstrike"" is Ranger, who must advance, starting each of the four episodes from an overrun human military base, before fighting his way into other dimensions, reaching them via the Slipgate or their otherworld equivalent. After passing through the Slipgate, Ranger's main objective is to collect four magic runes from four dimensions of Quake; these are the key to stopping the enemy and ending the invasion of Earth.  The single-player campaign consists of 30 separate levels, or ""maps"", divided into four episodes (with a total of 26 regular maps and four secret ones), as well as a hub level to select a difficulty setting and episode, and the game's final boss level. Each episode represents individual dimensions that the player can access through magical portals (as opposed to the technological Slipgate) that are discovered over the course of the game. The various realms consist of a number of gothic, medieval, and lava-filled caves and dungeons, with a recurring theme of hellish and satanic imagery reminiscent of Doom (such as pentagrams and images of demons on the walls). The game's setting is inspired by dark fantasy influences, including H. P. Lovecraft's Cthulhu Mythos. Dimensional Shamblers appear as enemies, the ""Spawn"" enemies are called ""Formless Spawn of Tsathoggua"" in the manual, the boss of the first episode is named Chthon, the main villain is named Shub-Niggurath and is explicitly stated to be an Old One, and the four episodes all have Lovecraftian names.  "
2,Quarantine Circular,/wiki/Quarantine_Circular,Adventure,Mike Bithell Games,Mike Bithell Games,"December 8, 2018"," Quarantine Circular is a conversation-based adventure game, presented in a three-dimensional, third-person perspective. The player controls a variety of characters who make decisions to resolve the situation.  Options are limited depending on the character, reflecting their preconceptions.  "
3,Quest of Dungeons,/wiki/Quest_of_Dungeons,Roguelike,Upfall Studios,JP,"August 10, 2017"," The player can assume the role of one of four different character class types, the Warrior, Wizard, Assassin or Shaman. The player enters a Mansion on the top floor and gradually progress down the increasing difficulty floors by leveling up. The entire game is randomly generated, so monsters, traps, loot are never on the same place. The game world is placed in a tile-based square grid that is viewed from a top-down perspective, where the player, enemies, items and objects occupy discrete squares. The game is turn-based, and both the player and numerous enemies take turns performing actions. The game has a very fast approach to the turn-based mechanic, and while the player does have to wait for the enemies to take turn, everything is done very quickly to keep the action fluid. Each turn the player may move or attack monsters in adjacent squares, pick, drop, and use items, and interact with various in-game objects. Permanent death is a major part of the game, in which if the player dies by losing all HP it will restart from the beginning of the game, thus creating a different dungeon, there are no options inside the game to change this, so while the player can save and continue later at any moment, if he dies he can't continue.   The game doesn't take itself very seriously and makes fun of the traditional plots. In this case, an Evil Dark Lord steals all the light in the world and traps it inside a magical lantern. The four heroes decide that it would be a good idea if one of them enters alone. This is a nod to B movie plots where sometimes characters make the most illogical decision.  "
7,Rad,/wiki/Rad_(video_game),Roguelike,Double Fine,Bandai Namco Entertainment,"August 20, 2019"," Rad is a roguelike video game played from an isometric perspective. In the game, players control a teenager whose goal is to explore a procedurally-generated wasteland for effigies known as respirators, items that may restore the human civilizations after a devastating apocalypse. As the character explores the wasteland, their genes will mutate, granting players additional powers and perks. For each character, players can have unlimited passive bonuses and at most three active mutations. If the player character dies, they will be replaced by a new character.  "
8,Rad Rodgers Radical Edition,/wiki/Rad_Rodgers_Radical_Edition,Platformer,Slipgate Studios,JP,"February 26, 2019",Games developed  
10,Rage in Peace,/wiki/Rage_in_Peace,Platformer,Rolling Glory Jam,Toge Productions,"November 8, 2018"," The player controls Timmy Malinu, an actuary, who comes into work to be informed by the grim reaper that he was meant to die that day. The player's objective is to avoid various hidden traps and obstacles (often requiring previous knowledge or trial and error) from killing Timmy, so that he may die peacefully ""in his pyjamas"". Timmy's movements are limited to running, jumping, and double jumping.  The game is described as a ""rage game"", with the player's death count being kept track on the top left corner of the screen.  "
11,Rage of the Dragons,/wiki/Rage_of_the_Dragons,Fighting,QUByte Interactive,QUByte Interactive,TBA," Rage of the Dragons features a tag team system, in which the player takes control of two characters and can switch between one or the other during gameplay. The character who is not being controlled will slowly recover part of his or her energy while the other is fighting. The player can perform special combos in which both characters attack an opponent at the same time for added damage.  An auxiliary meter located at the bottom of the screen that slowly fills up when an attack connects with an opponent. When the meter is full, special moves can be performed (Ex: Counter Attacks, Super Moves, etc.).  and characters  There are a total of fourteen playable characters in Rage of the Dragons. The player can select from one of the seven default pairings, or create a custom pairing with nearly 80 possible combinations. The player will see a hidden ending if they complete the single player tournament with a Billy and Jimmy pairing.  There are also two boss characters in the game, who are fought by the player at the end of the single player tournament. Unlike the regular characters, these bosses only fought by themselves, having no partners.  "
12,Raging Loop,/wiki/Raging_Loop,Visual novel,Kemco,JP,"August 3, 2017"," Raging Loop is an interactive visual novel with a branching plotline, in which the player's choices affect the direction of the story. Certain choices reward the player with keys, which can be used to unlock additional choices and explore more of the story. A Scenario Chart allows the player to return to any given scene or choice. There are four main endings, as well as many bad endings, some of which are optional. While the player has some freedom to explore different paths, the main endings must be played in a linear order due to the locked choices.  Many of the game's choices are at key moments in the Feast of the Yomi-Purge, a Werewolf-like social deduction game in which characters attempt to find the identities of the ""wolves"" hidden among them.  Clearing the fourth and final ending unlocks ""Revelation Mode,"" which allows players to replay the story with additional content. Revelation Mode includes side characters' internal thoughts, additional narration, and scenes that occur outside the protagonist's perspective, such as the wolves' actions. Along with Revelation Mode, two additional endings and five epilogues become available.   On a trip from Tokyo, Haruaki Fusaishi crashes his bike into the remote mountain village of Yasumizu, where he befriends college student Chiemi Serizawa. Before he can leave, Yasumizu is enshrouded by mist, and everyone in town must begin the Feast of the Yomi-Purge, an event in which several villagers become ""wolves"" and must kill one person each night. During the day, the villagers share information and vote to hang someone to eliminate the wolves. According to legend, the wolves are yomibito risen from the dead, and must be purged.  As the Feast continues, Haruaki discovers his ability to loop back in time after death, returning to the day he entered the village and repeating his actions. Unable to escape the loop, Haruaki relies on his memories, in the hopes of learning the truth about the Feast's origin, Yasumizu's secrets, and the truth behind the looping.  In one route, Haruaki bonds with Chiemi and learns her fear of God and the supernatural corruption plaguing Yasumizu. The wolves win the Feast and reveal that the mountain god Shin'nai told them the humans are the true yomibito who need to be saved. Haruaki and Chiemi attempt to run away, but they are unable to escape and Chiemi rots away into the mist.  In another route, Haruaki gains the role of the ""snake,"" allowing him to learn whether someone is a wolf or human each night. His deductions lead the humans to victory over the wolves. During the Feast, he grows close to Rikako Uematsu, a mysterious priestess with the power to heal others by taking in their corruption. Haruaki plans to start a new life with her after the Feast ends, but the remaining villagers are suddenly massacred and Haruaki loops back once again.  In the third route, Haruaki becomes a wolf and learns the inner workings of the Feast. He gets to know his fellow wolf Haru Makishima, a girl who lost her parents in a previous Feast eight years prior. Haru is possessed by a god named Mujina, who is aware of Haruaki's looping ability. By questioning her, Haruaki learns more about Yasumizu's gods. Haruaki ultimately wins the Feast, and a monstrous being appears in the sky. Haruaki is greeted by a sheep who explains to him that he is within someone else's dream, and the dreamer is resetting time to awaken the being. The sheep tells him it has been allowing Haruaki to keep his memories, and sends him back in time to prevent the country's destruction.  Haruaki reconvenes with Chiemi and realizes that she also remembers each time loop. Together, they make numerous attempts to escape the mists and change the events of the Feast, but they remain trapped. Haruaki returns to a number of key points in previous Feasts to speak with other villagers, and begins to understand the truth: the Feast is a man-made game devised by the Miguruma clan, a powerful family in the neighboring village of Fujiyoshi. The Migurumas would ostracize certain people and send them to live in Yasumizu, and fabricated their legends and culture to keep the villagers dedicated to purging yomibito.  Haruaki visits the sheep once more, and asks to be sent back as far as possible. Armed with his knowledge, he returns to Yasumizu and poses as a god, asking the villagers to stop the Feast, and restoring their faith in Mujina. He confronts Rikako, the dreamer responsible for looping time. She reveals that she wanted all the villagers to die in the Feast to revive the Tsuchigumo of Dreams, the being that appeared after Haruaki won the Feast as a wolf. With her plans thwarted, Rikako discovers she can no longer reset time with her death. Lastly, Haruaki confronts the Migurumas and puts an end to their control over Yasumizu.  Haruaki leaves Yasumizu and returns to his normal life, considering the events in Yasumizu to be a dream. However, he is later visited by Chiemi, who asks him to take her out on the bike ride he promised her when they first met. Haruaki agrees, and they set out on their trip.  "
14,Railway Empire,/wiki/Railway_Empire,Simulation,Gaming Minds Studios,JP,"February 14, 2020"," Railway Empire's base game takes place in the United States from 1830 to 1930. The player can build a large network of railway lines and buy various locomotives to serve cities and industries - growing cities in the process, and hire railway personnel for both train operations and office positions, all with individual bonuses and personality types. The player can also unlock innovations such as new locomotives or bonuses to revenue. The game has five main game modes: campaign mode, scenario mode, free mode, sandbox mode and challenge mode.  The Campaign mode mainly takes the player through the building of the First transcontinental railroad, the exception being mission four which is based around the American Civil War. In this mode, the player must fulfil tasks as well as competing with AI controlled competitors. In the Scenario mode, these competitors are selectable and playable characters with specific gameplay bonuses. The tasks are also considerably harder in scenario mode. In Free mode, the task list is randomly generated upon start-up, and the tasks given are not compulsory. Players can also choose how many competitors they have (between 0 and 3). Sandbox mode has no tasks and all locomotives are automatically researched. There are also no competitors and money is infinite. Challenge mode is similar to scenarios and free mode but players compete with other players on an online leaderboard.  "
